165806	16:39:42.984	0.00000335	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 34 	
165807	16:39:42.984	0.00200137	Gppw.exe	IOCTL_SERIAL_CLR_DTR                	COM9	SUCCESS		
165808	16:39:42.984	0.00191309	Gppw.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
165809	16:39:42.984	0.00158735	Gppw.exe	IOCTL_SERIAL_SET_DTR                	COM9	SUCCESS		
165810	16:39:42.984	0.00172564	Gppw.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
165811	16:39:42.994	0.00000503	Gppw.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXCLEAR RXCLEAR	
165812	16:39:42.994	0.00194103	Gppw.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 13, Data: 02 45 30 31 38 30 30 38 30 38 03 45 31 	
165813	16:39:42.994	0.05851666	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 02 	
165814	16:39:43.054	0.00000475	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 32 	
165815	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165816	16:39:43.054	0.00000279	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 32 	
165817	16:39:43.054	0.00000223	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165818	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 32 	
165819	16:39:43.054	0.00000223	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165820	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 32 	
165821	16:39:43.054	0.00000223	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165822	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 32 	
165823	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165824	16:39:43.054	0.00000223	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 32 	
165825	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165826	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 32 	
165827	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165828	16:39:43.054	0.00000279	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 32 	
165829	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165830	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 03 	
165831	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 31 	
165832	16:39:43.054	0.00000251	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 33 	
165833	16:39:43.054	0.00181252	Gppw.exe	IOCTL_SERIAL_CLR_DTR                	COM9	SUCCESS		
165834	16:39:43.054	0.00197651	Gppw.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
165835	16:39:43.054	0.00194243	Gppw.exe	IOCTL_SERIAL_SET_DTR                	COM9	SUCCESS		
165836	16:39:43.054	0.00197846	Gppw.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
165837	16:39:43.054	0.00000363	Gppw.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXCLEAR RXCLEAR	
165838	16:39:43.054	0.00166194	Gppw.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 13, Data: 02 45 30 30 30 45 43 43 30 32 03 30 35 	
165839	16:39:43.064	0.05104084	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 02 	
165840	16:39:43.114	0.00000587	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 31 	
165841	16:39:43.114	0.00000363	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165842	16:39:43.114	0.00000335	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165843	16:39:43.114	0.00000335	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 30 	
165844	16:39:43.114	0.00000335	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 03 	
165845	16:39:43.114	0.00000335	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 43 	
165846	16:39:43.114	0.00000307	Gppw.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 1, Data: 34 	
165847	16:39:43.114	0.00189493	Gppw.exe	IOCTL_SERIAL_CLR_DTR                	COM9	SUCCESS		
165848	16:39:43.114	0.00189018	Gppw.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
165849	16:39:43.114	0.00194941	Gppw.exe	IOCTL_SERIAL_SET_DTR                	COM9	SUCCESS		
165850	16:39:43.114	0.00215027	Gppw.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
165851	16:39:43.124	0.00000503	Gppw.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXCLEAR RXCLEAR	
